date_id,date,year,quarter,month,month_name,month_short,year_month,day,day_of_week,day_name,is_weekend,is_month_start,fiscal_year
20230101,2023-01-01,2023,Q1,1,January,Jan,2023-01,1,7,Sunday,True,True,2023
20230102,2023-01-02,2023,Q1,1,January,Jan,2023-01,2,1,Monday,False,False,2023
20230103,2023-01-03,2023,Q1,1,January,Jan,2023-01,3,2,Tuesday,False,False,2023
20230104,2023-01-04,2023,Q1,1,January,Jan,2023-01,4,3,Wednesday,False,False,2023
20230105,2023-01-05,2023,Q1,1,January,Jan,2023-01,5,4,Thursday,False,False,2023
20230106,2023-01-06,2023,Q1,1,January,Jan,2023-01,6,5,Friday,False,False,2023
20230107,2023-01-07,2023,Q1,1,January,Jan,2023-01,7,6,Saturday,True,False,2023
20230108,2023-01-08,2023,Q1,1,January,Jan,2023-01,8,7,Sunday,True,False,2023
20230109,2023-01-09,2023,Q1,1,January,Jan,2023-01,9,1,Monday,False,False,2023
20230110,2023-01-10,2023,Q1,1,January,Jan,2023-01,10,2,Tuesday,False,False,2023
20230111,2023-01-11,2023,Q1,1,January,Jan,2023-01,11,3,Wednesday,False,False,2023
20230112,2023-01-12,2023,Q1,1,January,Jan,2023-01,12,4,Thursday,False,False,2023
20230113,2023-01-13,2023,Q1,1,January,Jan,2023-01,13,5,Friday,False,False,2023
20230114,2023-01-14,2023,Q1,1,January,Jan,2023-01,14,6,Saturday,True,False,2023
20230115,2023-01-15,2023,Q1,1,January,Jan,2023-01,15,7,Sunday,True,False,2023
20230116,2023-01-16,2023,Q1,1,January,Jan,2023-01,16,1,Monday,False,False,2023
20230117,2023-01-17,2023,Q1,1,January,Jan,2023-01,17,2,Tuesday,False,False,2023
20230118,2023-01-18,2023,Q1,1,January,Jan,2023-01,18,3,Wednesday,False,False,2023
20230119,2023-01-19,2023,Q1,1,January,Jan,2023-01,19,4,Thursday,False,False,2023
20230120,2023-01-20,2023,Q1,1,January,Jan,2023-01,20,5,Friday,False,False,2023
20230121,2023-01-21,2023,Q1,1,January,Jan,2023-01,21,6,Saturday,True,False,2023
20230122,2023-01-22,2023,Q1,1,January,Jan,2023-01,22,7,Sunday,True,False,2023
20230123,2023-01-23,2023,Q1,1,January,Jan,2023-01,23,1,Monday,False,False,2023
20230124,2023-01-24,2023,Q1,1,January,Jan,2023-01,24,2,Tuesday,False,False,2023
20230125,2023-01-25,2023,Q1,1,January,Jan,2023-01,25,3,Wednesday,False,False,2023
20230126,2023-01-26,2023,Q1,1,January,Jan,2023-01,26,4,Thursday,False,False,2023
20230127,2023-01-27,2023,Q1,1,January,Jan,2023-01,27,5,Friday,False,False,2023
20230128,2023-01-28,2023,Q1,1,January,Jan,2023-01,28,6,Saturday,True,False,2023
20230129,2023-01-29,2023,Q1,1,January,Jan,2023-01,29,7,Sunday,True,False,2023
20230130,2023-01-30,2023,Q1,1,January,Jan,2023-01,30,1,Monday,False,False,2023
20230131,2023-01-31,2023,Q1,1,January,Jan,2023-01,31,2,Tuesday,False,False,2023
20230201,2023-02-01,2023,Q1,2,February,Feb,2023-02,1,3,Wednesday,False,True,2023
20230202,2023-02-02,2023,Q1,2,February,Feb,2023-02,2,4,Thursday,False,False,2023
20230203,2023-02-03,2023,Q1,2,February,Feb,2023-02,3,5,Friday,False,False,2023
20230204,2023-02-04,2023,Q1,2,February,Feb,2023-02,4,6,Saturday,True,False,2023
20230205,2023-02-05,2023,Q1,2,February,Feb,2023-02,5,7,Sunday,True,False,2023
20230206,2023-02-06,2023,Q1,2,February,Feb,2023-02,6,1,Monday,False,False,2023
20230207,2023-02-07,2023,Q1,2,February,Feb,2023-02,7,2,Tuesday,False,False,2023
20230208,2023-02-08,2023,Q1,2,February,Feb,2023-02,8,3,Wednesday,False,False,2023
20230209,2023-02-09,2023,Q1,2,February,Feb,2023-02,9,4,Thursday,False,False,2023
20230210,2023-02-10,2023,Q1,2,February,Feb,2023-02,10,5,Friday,False,False,2023
20230211,2023-02-11,2023,Q1,2,February,Feb,2023-02,11,6,Saturday,True,False,2023
20230212,2023-02-12,2023,Q1,2,February,Feb,2023-02,12,7,Sunday,True,False,2023
20230213,2023-02-13,2023,Q1,2,February,Feb,2023-02,13,1,Monday,False,False,2023
20230214,2023-02-14,2023,Q1,2,February,Feb,2023-02,14,2,Tuesday,False,False,2023
20230215,2023-02-15,2023,Q1,2,February,Feb,2023-02,15,3,Wednesday,False,False,2023
20230216,2023-02-16,2023,Q1,2,February,Feb,2023-02,16,4,Thursday,False,False,2023
20230217,2023-02-17,2023,Q1,2,February,Feb,2023-02,17,5,Friday,False,False,2023
20230218,2023-02-18,2023,Q1,2,February,Feb,2023-02,18,6,Saturday,True,False,2023
20230219,2023-02-19,2023,Q1,2,February,Feb,2023-02,19,7,Sunday,True,False,2023
20230220,2023-02-20,2023,Q1,2,February,Feb,2023-02,20,1,Monday,False,False,2023
20230221,2023-02-21,2023,Q1,2,February,Feb,2023-02,21,2,Tuesday,False,False,2023
20230222,2023-02-22,2023,Q1,2,February,Feb,2023-02,22,3,Wednesday,False,False,2023
20230223,2023-02-23,2023,Q1,2,February,Feb,2023-02,23,4,Thursday,False,False,2023
20230224,2023-02-24,2023,Q1,2,February,Feb,2023-02,24,5,Friday,False,False,2023
20230225,2023-02-25,2023,Q1,2,February,Feb,2023-02,25,6,Saturday,True,False,2023
20230226,2023-02-26,2023,Q1,2,February,Feb,2023-02,26,7,Sunday,True,False,2023
20230227,2023-02-27,2023,Q1,2,February,Feb,2023-02,27,1,Monday,False,False,2023
20230228,2023-02-28,2023,Q1,2,February,Feb,2023-02,28,2,Tuesday,False,False,2023
20230301,2023-03-01,2023,Q1,3,March,Mar,2023-03,1,3,Wednesday,False,True,2023
20230302,2023-03-02,2023,Q1,3,March,Mar,2023-03,2,4,Thursday,False,False,2023
20230303,2023-03-03,2023,Q1,3,March,Mar,2023-03,3,5,Friday,False,False,2023
20230304,2023-03-04,2023,Q1,3,March,Mar,2023-03,4,6,Saturday,True,False,2023
20230305,2023-03-05,2023,Q1,3,March,Mar,2023-03,5,7,Sunday,True,False,2023
20230306,2023-03-06,2023,Q1,3,March,Mar,2023-03,6,1,Monday,False,False,2023
20230307,2023-03-07,2023,Q1,3,March,Mar,2023-03,7,2,Tuesday,False,False,2023
20230308,2023-03-08,2023,Q1,3,March,Mar,2023-03,8,3,Wednesday,False,False,2023
20230309,2023-03-09,2023,Q1,3,March,Mar,2023-03,9,4,Thursday,False,False,2023
20230310,2023-03-10,2023,Q1,3,March,Mar,2023-03,10,5,Friday,False,False,2023
20230311,2023-03-11,2023,Q1,3,March,Mar,2023-03,11,6,Saturday,True,False,2023
20230312,2023-03-12,2023,Q1,3,March,Mar,2023-03,12,7,Sunday,True,False,2023
20230313,2023-03-13,2023,Q1,3,March,Mar,2023-03,13,1,Monday,False,False,2023
20230314,2023-03-14,2023,Q1,3,March,Mar,2023-03,14,2,Tuesday,False,False,2023
20230315,2023-03-15,2023,Q1,3,March,Mar,2023-03,15,3,Wednesday,False,False,2023
20230316,2023-03-16,2023,Q1,3,March,Mar,2023-03,16,4,Thursday,False,False,2023
20230317,2023-03-17,2023,Q1,3,March,Mar,2023-03,17,5,Friday,False,False,2023
20230318,2023-03-18,2023,Q1,3,March,Mar,2023-03,18,6,Saturday,True,False,2023
20230319,2023-03-19,2023,Q1,3,March,Mar,2023-03,19,7,Sunday,True,False,2023
20230320,2023-03-20,2023,Q1,3,March,Mar,2023-03,20,1,Monday,False,False,2023
20230321,2023-03-21,2023,Q1,3,March,Mar,2023-03,21,2,Tuesday,False,False,2023
20230322,2023-03-22,2023,Q1,3,March,Mar,2023-03,22,3,Wednesday,False,False,2023
20230323,2023-03-23,2023,Q1,3,March,Mar,2023-03,23,4,Thursday,False,False,2023
20230324,2023-03-24,2023,Q1,3,March,Mar,2023-03,24,5,Friday,False,False,2023
20230325,2023-03-25,2023,Q1,3,March,Mar,2023-03,25,6,Saturday,True,False,2023
20230326,2023-03-26,2023,Q1,3,March,Mar,2023-03,26,7,Sunday,True,False,2023
20230327,2023-03-27,2023,Q1,3,March,Mar,2023-03,27,1,Monday,False,False,2023
20230328,2023-03-28,2023,Q1,3,March,Mar,2023-03,28,2,Tuesday,False,False,2023
20230329,2023-03-29,2023,Q1,3,March,Mar,2023-03,29,3,Wednesday,False,False,2023
20230330,2023-03-30,2023,Q1,3,March,Mar,2023-03,30,4,Thursday,False,False,2023
20230331,2023-03-31,2023,Q1,3,March,Mar,2023-03,31,5,Friday,False,False,2023
20230401,2023-04-01,2023,Q2,4,April,Apr,2023-04,1,6,Saturday,True,True,2023
