date,cost_center_id,account_id,budget_amount
2023-01-01,1000,5000,-498750.0
2023-01-01,1000,5100,-31350.0
2023-01-01,1000,5300,-29925.0
2023-01-01,1000,5500,-139650.0
2023-01-01,1000,6100,-30566.25
2023-01-01,1000,6200,-4275.0
2023-01-01,2000,5100,-25650.0
2023-01-01,2000,5500,-27930.0
2023-01-01,2000,6200,-2137.5
2023-01-01,3000,5200,-64125.0
2023-01-01,3000,5300,-12825.0
2023-01-01,3000,5500,-35910.0
2023-01-01,3000,6200,-2565.0
2023-01-01,4000,4000,1068750.0
2023-01-01,4000,4100,285000.0
2023-01-01,4000,4200,71250.0
2023-01-01,4000,5500,-63840.0
2023-01-01,4000,5800,-9405.0
2023-01-01,4000,6200,-3206.25
2023-01-01,5000,5500,-19950.0
2023-01-01,5000,5700,-35625.0
2023-01-01,5000,5800,-3420.0
2023-01-01,5000,6200,-2137.5
2023-01-01,6000,5500,-35910.0
2023-01-01,6000,5600,-28500.0
2023-01-01,6000,6000,-7481.25
2023-01-01,6000,6100,-16458.75
2023-01-01,6000,6200,-2137.5
2023-01-01,7000,5500,-31920.0
2023-01-01,7000,5800,-4275.0
2023-01-01,7000,6000,-6412.5
2023-01-01,7000,6200,-1710.0
2023-01-01,8000,5400,-18525.0
2023-01-01,8000,5500,-43890.0
2023-01-01,8000,5900,-9975.0
2023-01-01,8000,6000,-7481.25
2023-01-01,8000,6200,-3206.25
2023-02-01,1000,5000,-498750.0
2023-02-01,1000,5100,-31350.0
2023-02-01,1000,5300,-29925.0
2023-02-01,1000,5500,-139650.0
2023-02-01,1000,6100,-30566.25
2023-02-01,1000,6200,-4275.0
2023-02-01,2000,5100,-25650.0
2023-02-01,2000,5500,-27930.0
2023-02-01,2000,6200,-2137.5
2023-02-01,3000,5200,-64125.0
2023-02-01,3000,5300,-12825.0
2023-02-01,3000,5500,-35910.0
2023-02-01,3000,6200,-2565.0
2023-02-01,4000,4000,1068750.0
2023-02-01,4000,4100,285000.0
