date,cost_center_id,account_id,forecast_amount
2023-01-01,1000,5000,-489385.43
2023-01-01,1000,5100,-31365.67
2023-01-01,1000,5300,-30721.47
2023-01-01,1000,5500,-139204.69
2023-01-01,1000,6100,-31097.4
2023-01-01,1000,6200,-4173.4
2023-01-01,2000,5100,-23528.92
2023-01-01,2000,5500,-26044.91
2023-01-01,2000,6200,-1812.48
2023-01-01,3000,5200,-65270.35
2023-01-01,3000,5300,-12774.48
2023-01-01,3000,5500,-33831.37
2023-01-01,3000,6200,-2572.4
2023-01-01,4000,4000,1052430.71
2023-01-01,4000,4100,271367.43
2023-01-01,4000,4200,72637.87
2023-01-01,4000,5500,-60462.35
2023-01-01,4000,5800,-9682.45
2023-01-01,4000,6200,-3138.34
2023-01-01,5000,5500,-19154.2
2023-01-01,5000,5700,-35117.32
2023-01-01,5000,5800,-3292.28
2023-01-01,5000,6200,-2157.39
2023-01-01,6000,5500,-36484.24
2023-01-01,6000,5600,-29981.12
2023-01-01,6000,6000,-7379.79
2023-01-01,6000,6100,-16615.26
2023-01-01,6000,6200,-2139.37
2023-01-01,7000,5500,-30763.88
2023-01-01,7000,5800,-4239.87
2023-01-01,7000,6000,-6628.04
2023-01-01,7000,6200,-1819.56
2023-01-01,8000,5400,-18211.34
2023-01-01,8000,5500,-43226.1
2023-01-01,8000,5900,-9595.94
2023-01-01,8000,6000,-6964.35
2023-01-01,8000,6200,-3175.55
2023-02-01,1000,5000,-525865.79
2023-02-01,1000,5100,-32397.23
2023-02-01,1000,5300,-28502.05
2023-02-01,1000,5500,-137472.52
2023-02-01,1000,6100,-30394.11
2023-02-01,1000,6200,-4301.86
2023-02-01,2000,5100,-23414.53
2023-02-01,2000,5500,-26391.97
2023-02-01,2000,6200,-1911.54
2023-02-01,3000,5200,-67878.37
2023-02-01,3000,5300,-12496.81
2023-02-01,3000,5500,-36822.33
2023-02-01,3000,6200,-2458.74
2023-02-01,4000,4000,1024995.48
2023-02-01,4000,4100,287043.75
2023-02-01,4000,4200,71876.99
2023-02-01,4000,5500,-63272.53
2023-02-01,4000,5800,-9560.9
2023-02-01,4000,6200,-2991.47
2023-02-01,5000,5500,-18776.3
2023-02-01,5000,5700,-39777.25
2023-02-01,5000,5800,-3284.63
2023-02-01,5000,6200,-2095.92
2023-02-01,6000,5500,-34451.22
2023-02-01,6000,5600,-30776.27
2023-02-01,6000,6000,-7237.98
2023-02-01,6000,6100,-17160.54
2023-02-01,6000,6200,-2132.9
2023-02-01,7000,5500,-32320.29
2023-02-01,7000,5800,-3910.42
2023-02-01,7000,6000,-6305.96
2023-02-01,7000,6200,-1830.93
2023-02-01,8000,5400,-17838.41
2023-02-01,8000,5500,-45361.42
2023-02-01,8000,5900,-10081.82
2023-02-01,8000,6000,-7298.08
2023-02-01,8000,6200,-3222.96
2023-03-01,1000,5000,-514827.2
2023-03-01,1000,5100,-32683.56
2023-03-01,1000,5300,-33207.63
2023-03-01,1000,5500,-152248.78
2023-03-01,1000,6100,-33381.35
2023-03-01,1000,6200,-4623.64
2023-03-01,2000,5100,-26896.25
2023-03-01,2000,5500,-29800.11
2023-03-01,2000,6200,-1964.33
2023-03-01,3000,5200,-66587.9
2023-03-01,3000,5300,-13272.67
2023-03-01,3000,5500,-38493.13
2023-03-01,3000,6200,-2603.28
2023-03-01,4000,4000,1192607.74
2023-03-01,4000,4100,299888.62
2023-03-01,4000,4200,72874.07
2023-03-01,4000,5500,-66748.73
2023-03-01,4000,5800,-10162.62
2023-03-01,4000,6200,-3669.83
2023-03-01,5000,5500,-21802.19
2023-03-01,5000,5700,-40666.01
2023-03-01,5000,5800,-3654.57
2023-03-01,5000,6200,-2453.23
2023-03-01,6000,5500,-37854.31
2023-03-01,6000,5600,-30811.25
2023-03-01,6000,6000,-8102.99
2023-03-01,6000,6100,-18757.06
2023-03-01,6000,6200,-2278.52
2023-03-01,7000,5500,-32591.84
2023-03-01,7000,5800,-4642.48
2023-03-01,7000,6000,-6771.83
2023-03-01,7000,6200,-1807.86
2023-03-01,8000,5400,-20631.16
2023-03-01,8000,5500,-44715.14
2023-03-01,8000,5900,-11269.49
2023-03-01,8000,6000,-8387.95
2023-03-01,8000,6200,-3643.74
2023-04-01,1000,5000,-516713.29
2023-04-01,1000,5100,-32993.24
2023-04-01,1000,5300,-33273.43
2023-04-01,1000,5500,-134944.99
